caller,receiver,timestamp,duration_sec,cell_tower
9119325613,9883716767,2026-06-27T23:45:22.420389,781,TOWER-2
9883716767,9507861547,2026-06-14T04:45:22.420389,464,TOWER-1
9103521443,9157334558,2026-08-20T00:45:22.420389,304,TOWER-1
9763553360,9122330468,2026-07-18T03:45:22.420389,664,TOWER-2
9356684463,9251305036,2026-06-18T17:45:22.420389,1053,TOWER-1
9930059616,9633844632,2026-06-04T05:45:22.420389,1011,TOWER-2
9470943746,9119325613,2026-07-30T23:45:22.420389,1663,TOWER-5
9455401597,9507631359,2026-06-28T19:45:22.420389,510,TOWER-3
9633844632,9645445371,2026-07-19T22:45:22.420389,1353,TOWER-5
9507631359,9315220005,2026-08-20T05:45:22.420389,1351,TOWER-2
9157334558,9645445371,2026-07-15T22:45:22.420389,1437,TOWER-4
9119325613,9485013618,2026-07-13T22:45:22.420389,277,TOWER-2
9633844632,9645445371,2026-07-20T22:45:22.420389,1240,TOWER-3
9223786821,9633844632,2026-07-20T22:45:22.420389,1448,TOWER-5
9251305036,9658565490,2026-08-17T00:45:22.420389,1605,TOWER-5
9883716767,9119325613,2026-07-15T22:45:22.420389,906,TOWER-4
9645445371,9157334558,2026-07-15T22:45:22.420389,1419,TOWER-3
9250703355,9883716767,2026-07-16T22:45:22.420389,1428,TOWER-2
9992003135,9119325613,2026-08-07T09:45:22.420389,1696,TOWER-2
9166012408,9633844632,2026-08-19T06:45:22.420389,1421,TOWER-1
9119325613,9250703355,2026-07-12T22:45:22.420389,52,TOWER-1
9776723706,9470943746,2026-08-20T04:45:22.420389,1155,TOWER-3
9633844632,9483778558,2026-06-26T14:45:22.420389,789,TOWER-4
9883716767,9645445371,2026-08-19T19:45:22.420389,792,TOWER-1
9485013618,9633844632,2026-07-10T22:45:22.420389,998,TOWER-5
9101766480,9658565490,2026-08-23T02:45:22.420389,360,TOWER-2
9470943746,9834030738,2026-06-25T09:45:22.420389,458,TOWER-4
9223786821,9645445371,2026-07-14T22:45:22.420389,23,TOWER-4
9157334558,9785122250,2026-06-05T11:45:22.420389,1495,TOWER-5
9250703355,9157334558,2026-08-28T09:45:22.420389,1047,TOWER-4
9206683624,9251305036,2026-07-30T15:45:22.420389,1076,TOWER-1
9507631359,9356684463,2026-06-18T10:45:22.420389,108,TOWER-3
9883716767,9250703355,2026-07-16T22:45:22.420389,331,TOWER-2
9223786821,9157334558,2026-07-15T22:45:22.420389,226,TOWER-1
9633844632,9157334558,2026-07-19T22:45:22.420389,1038,TOWER-5
9763553360,9859601150,2026-08-02T12:45:22.420389,973,TOWER-5
9763553360,9780075432,2026-08-24T21:45:22.420389,288,TOWER-5
9455401597,9992003135,2026-06-11T07:45:22.420389,1072,TOWER-1
9395894857,9251305036,2026-06-20T12:45:22.420389,1241,TOWER-4
9356684463,9315220005,2026-08-24T20:45:22.420389,819,TOWER-3
9859601150,9223786821,2026-06-03T13:45:22.420389,1152,TOWER-5
9455401597,9485013618,2026-06-22T08:45:22.420389,745,TOWER-3
9633844632,9250703355,2026-06-22T22:45:22.420389,1453,TOWER-2
9251305036,9992003135,2026-06-14T00:45:22.420389,1440,TOWER-2
9316044204,9166012408,2026-08-13T00:45:22.420389,1145,TOWER-2
9119325613,9883716767,2026-07-19T22:45:22.420389,1607,TOWER-4
9645445371,9485013618,2026-07-13T22:45:22.420389,1334,TOWER-3
9166012408,9883716767,2026-06-27T03:45:22.420389,1223,TOWER-5
9223786821,9485013618,2026-07-15T22:45:22.420389,1197,TOWER-4
9119325613,9485013618,2026-07-14T22:45:22.420389,443,TOWER-4
9206683624,9485013618,2026-07-15T22:45:22.420389,1250,TOWER-2
9485013618,9633844632,2026-07-12T22:45:22.420389,150,TOWER-5
9250703355,9763553360,2026-07-05T08:45:22.420389,1601,TOWER-3
9859601150,9206683624,2026-06-14T11:45:22.420389,389,TOWER-4
9223786821,9633844632,2026-07-15T22:45:22.420389,856,TOWER-2
9658565490,9992003135,2026-07-08T13:45:22.420389,1117,TOWER-4
9251305036,9396524876,2026-06-06T07:45:22.420389,590,TOWER-1
9834030738,9455401597,2026-06-20T09:45:22.420389,648,TOWER-1
9395894857,9206683624,2026-08-08T22:45:22.420389,558,TOWER-5
9785122250,9776723706,2026-06-14T07:45:22.420389,1637,TOWER-4
9250703355,9645445371,2026-07-31T20:45:22.420389,1296,TOWER-2
9483778558,9470943746,2026-06-06T02:45:22.420389,1728,TOWER-3
9315220005,9103521443,2026-07-05T15:45:22.420389,259,TOWER-2
9883716767,9250703355,2026-07-18T22:45:22.420389,521,TOWER-3
9223786821,9485013618,2026-07-10T22:45:22.420389,1688,TOWER-3
9250703355,9947866864,2026-06-25T14:45:22.420389,1561,TOWER-3
9223786821,9645445371,2026-07-16T22:45:22.420389,1141,TOWER-3
9997208934,9223786821,2026-07-11T21:45:22.420389,1698,TOWER-3
9103521443,9507861547,2026-08-04T14:45:22.420389,1674,TOWER-1
9485013618,9633844632,2026-07-10T22:45:22.420389,571,TOWER-4
9930059616,9992003135,2026-08-03T19:45:22.420389,879,TOWER-1
9396524876,9859601150,2026-06-15T08:45:22.420389,1298,TOWER-5
9166012408,9859601150,2026-06-28T18:45:22.420389,212,TOWER-4
9316044204,9780075432,2026-08-10T04:45:22.420389,69,TOWER-3
9645445371,9250703355,2026-07-18T11:45:22.420389,1412,TOWER-2
9250703355,9485013618,2026-07-13T22:45:22.420389,896,TOWER-5
9455401597,9776723706,2026-08-26T02:45:22.420389,455,TOWER-2
9251305036,9834030738,2026-07-27T12:45:22.420389,662,TOWER-5
9316044204,9834030738,2026-06-09T12:45:22.420389,1581,TOWER-2
9859601150,9166012408,2026-07-24T05:45:22.420389,717,TOWER-2
9485013618,9315220005,2026-07-24T07:45:22.420389,259,TOWER-2
9250703355,9119325613,2026-07-12T22:45:22.420389,286,TOWER-5
9930059616,9515353101,2026-06-01T17:45:22.420389,1564,TOWER-4
9859601150,9485013618,2026-06-13T05:45:22.420389,410,TOWER-5
9515353101,9470943746,2026-06-29T17:45:22.420389,646,TOWER-3
9206683624,9883716767,2026-07-10T22:45:22.420389,1486,TOWER-2
9947866864,9396524876,2026-08-29T14:45:22.420389,1222,TOWER-4
9947866864,9785122250,2026-08-30T21:45:22.420389,32,TOWER-5
9507861547,9834030738,2026-07-01T04:45:22.420389,1273,TOWER-3
9206683624,9250703355,2026-07-19T22:45:22.420389,536,TOWER-1
9206683624,9316044204,2026-06-20T04:45:22.420389,646,TOWER-4
9883716767,9997208934,2026-07-25T01:45:22.420389,205,TOWER-4
9251305036,9252679083,2026-07-08T23:45:22.420389,1385,TOWER-3
9992003135,9515353101,2026-07-10T11:45:22.420389,1606,TOWER-5
9633844632,9252679083,2026-06-26T05:45:22.420389,959,TOWER-3
9859601150,9947866864,2026-06-04T06:45:22.420389,1379,TOWER-5
9103521443,9785122250,2026-06-07T17:45:22.420389,1260,TOWER-2
9119325613,9101766480,2026-06-28T03:45:22.420389,277,TOWER-1
9785122250,9859601150,2026-07-29T11:45:22.420389,1234,TOWER-2
9515353101,9166012408,2026-06-01T15:45:22.420389,1520,TOWER-1
9507861547,9930059616,2026-08-21T21:45:22.420389,376,TOWER-4
